,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Cluster_number,Kmean_Clusters
0,28143,0,1,1,1,174,1,0,0,7000,0,1
1,19244,0,1,1,1,215,2,0,0,6968,0,1
2,41354,0,1,1,1,4123,4,0,0,7034,0,1
3,14776,0,1,1,1,500,1,0,0,6952,0,1
4,97752,0,4,1,1,43300,26,2077,4,6935,1,0
5,16420,0,1,1,1,0,0,0,0,6942,0,1
6,84914,0,3,1,1,27482,25,0,0,6994,1,0
7,20856,0,1,1,1,5250,4,250,1,6938,0,1
8,443003,0,3,2,1,1753,43,3850,12,6948,0,0
9,104860,0,3,1,1,28426,28,1150,3,6931,1,0
10,40091,0,2,1,1,7278,10,0,0,6959,1,1
11,96522,0,5,1,1,61105,19,0,0,6924,1,0
12,43382,0,2,1,1,11150,20,0,0,6924,1,1
13,43097,0,1,1,1,3258,6,0,0,6918,0,1
14,17648,0,1,1,1,0,0,0,0,6912,0,1
15,28495,0,4,1,1,49442,15,0,0,6912,1,0
16,51890,0,4,1,1,48963,16,0,0,6910,1,0
17,13958,0,1,1,1,4291,5,0,0,6905,0,1
18,91473,0,3,1,1,27408,17,0,0,6903,1,0
19,23354,0,3,1,1,10447,5,0,0,6896,0,1
20,120576,0,5,1,1,58831,23,250,2,6896,1,0
21,185681,2024,1,1,1,13300,16,1800,9,6896,0,0
22,20584,0,1,1,1,3450,11,3450,11,6884,0,1
23,66275,0,1,1,1,2533,11,150,1,6884,0,1
24,205651,500,1,1,1,4025,21,700,4,7932,0,0
25,20726,0,1,1,1,1375,4,0,0,7924,0,1
26,18521,0,1,1,1,1227,2,1227,2,7917,0,1
27,8828,0,1,1,1,0,0,0,0,7914,0,1
28,59763,0,3,1,1,33772,20,100,1,7907,1,0
29,19221,0,1,1,1,4655,8,500,1,7896,0,1
30,177926,0,3,1,1,20797,13,0,0,7886,1,0
31,10021,0,1,1,1,0,0,0,0,7879,0,1
32,276571,0,4,1,1,42044,23,0,0,7872,1,0
33,18047,0,1,1,1,100,1,0,0,7868,0,1
34,43832,0,1,1,1,0,0,0,0,7865,0,1
35,123759,0,4,1,1,50572,23,2500,5,7865,1,0
36,23193,0,1,1,1,650,4,550,3,7861,0,1
37,68666,0,1,1,1,350,2,350,2,7861,0,1
38,59990,0,3,1,1,27878,17,0,0,7854,1,0
39,2176,0,1,1,1,0,0,0,0,7847,0,1
40,34616,0,1,1,1,1750,4,500,1,7850,0,1
41,10470,0,4,1,1,38094,26,0,0,7840,1,0
42,60313,0,1,1,1,10000,26,3250,9,7829,0,0
43,619393,0,3,1,1,15008,14,0,0,7819,1,0
44,121260,0,3,1,1,18493,18,0,0,7808,1,0
45,288865,967,1,1,1,23600,14,2000,4,6884,0,0
46,92336,0,2,1,1,11214,6,0,0,6884,0,1
47,36924,0,1,1,1,5900,6,300,2,6879,0,1
48,70312,0,3,1,1,34678,24,500,1,6875,1,0
49,17051,0,1,1,1,1150,4,1150,4,6868,0,1
50,108137,0,1,1,1,6368,5,6368,5,6844,2,1
51,1300,0,1,1,1,370,1,0,0,6868,0,1
52,118531,0,4,1,1,44577,38,0,0,6868,1,0
53,121395,0,1,1,1,4970,8,650,2,6889,0,1
54,38348,0,1,1,1,0,0,0,0,6861,0,1
55,14448,0,1,1,1,1625,6,0,0,6856,0,1
56,75971,0,4,1,1,34339,14,0,0,6869,1,0
57,36298,0,1,1,1,3100,5,600,3,6865,0,1
58,38077,0,3,1,1,34024,8,0,0,6837,1,1
59,95118,0,3,1,1,23188,23,2200,7,6865,0,0
60,134457,0,3,1,1,15588,14,0,0,6861,1,0
61,19918,0,1,1,1,17601,11,0,0,6863,0,1
62,10120,0,1,1,1,0,0,0,0,6864,0,1
63,362642,0,1,1,1,28079,8,0,0,6835,0,0
64,80250,0,1,1,1,895,2,0,0,6833,0,1
65,53914,0,3,1,1,33767,45,5550,29,6826,2,0
66,9375,0,1,1,1,1750,7,0,0,6826,0,1
67,83237,0,4,1,1,35287,18,0,0,6837,1,0
68,230715,0,3,1,1,24047,12,0,0,6826,1,0
69,47457,0,3,1,1,12621,16,0,0,7766,1,0
70,84409,5031,2,1,1,15436,16,1150,4,7766,0,0
71,252386,0,4,1,1,39787,13,0,0,7787,1,0
72,550367,0,3,1,1,12500,13,50,1,7801,1,0
73,12646,0,1,1,1,631,4,631,4,7787,0,1
74,123867,0,3,1,1,25308,17,0,0,7759,1,0
75,129871,0,3,1,1,15776,22,0,0,7752,1,0
76,109380,0,1,1,1,7537,16,0,0,7749,0,1
77,111157,0,4,1,1,32883,19,0,0,7771,1,0
78,49238,0,4,1,1,38037,18,0,0,7801,1,0
79,38896,0,5,1,1,76988,16,556,1,7771,1,0
80,4340,0,1,1,1,32685,5,0,0,7733,0,1
81,88443,0,1,1,1,1200,3,1200,3,6837,0,1
82,8454,0,1,1,1,498,9,0,0,6821,0,1
83,61990,0,1,1,1,1625,6,0,0,6833,0,1
84,24093,0,1,1,1,1750,7,0,0,6819,0,1
85,35418,0,5,1,1,58557,18,900,3,6813,1,0
86,40284,0,1,1,1,7719,5,0,0,6827,0,1
87,609477,0,3,1,1,21422,22,1200,8,6820,1,0
88,62553,0,2,1,1,7672,16,700,1,6819,1,1
89,48433,0,1,1,1,3500,4,500,1,6807,0,1
90,20508,0,1,1,1,22250,8,1250,5,6794,0,1
91,2000,0,1,1,1,2000,4,2000,4,6809,0,1
92,78629,0,4,1,1,36679,25,0,0,6817,1,0
93,143566,0,1,1,1,5000,5,1500,3,6785,0,1
94,185549,0,5,1,1,110859,39,2950,16,6778,2,0
95,16796,0,1,1,1,2875,16,0,0,6773,0,1
96,57346,0,1,1,1,5560,23,0,0,6766,0,1
97,102062,0,4,1,1,44247,16,0,0,6758,1,0
98,22324,0,1,1,1,1375,4,0,0,6753,0,1
99,64824,0,3,1,1,20184,13,0,0,6770,1,1
100,25076,1182,5,1,1,57203,14,0,0,6750,0,0
101,8053,0,1,1,1,0,0,0,0,6750,0,1
102,35119,0,1,1,1,0,0,0,0,6749,0,1
103,28667,0,1,1,1,3861,7,2050,5,6749,0,1
104,34327,0,1,1,1,0,0,0,0,6745,0,1
105,3734,0,5,1,1,61096,18,150,2,6760,1,0
106,96627,1182,1,1,3,49059,26,2300,9,6738,1,0
107,43498,0,1,1,1,0,0,0,0,6759,0,1
108,84674,0,4,1,1,46335,14,50,1,6738,1,0
109,15098,0,4,1,1,32917,26,550,3,6737,1,0
110,181019,0,3,1,1,18415,15,0,0,7714,1,0
111,298911,0,1,1,1,8550,11,2550,8,7714,0,0
112,124198,0,5,1,1,66330,23,4833,10,7710,2,0
113,56906,0,1,1,1,2015,13,0,0,7707,0,1
114,295638,0,1,1,1,5422,20,818,2,7700,0,0
115,67018,0,3,1,1,23260,25,0,0,7698,1,0
116,143967,0,2,1,1,7346,11,0,0,7689,0,1
117,969559,0,1,1,1,2500,3,1000,2,7718,1,0
118,122705,0,3,1,1,24222,15,0,0,7682,1,0
119,16583,0,1,1,1,2625,7,0,0,7682,0,1
120,77540,0,1,1,1,1000,1,0,0,7683,0,1
121,205126,0,5,1,1,126630,45,2250,10,7668,2,0
122,81974,0,4,1,1,37266,18,1050,3,7661,1,0
123,47258,0,3,1,1,24768,19,0,0,7659,1,0
124,77699,0,4,1,1,42775,13,0,0,7654,1,0
125,133954,500,4,1,1,37670,18,1500,3,7654,1,0
126,602064,0,5,1,1,194753,26,2250,10,7652,1,0
127,213150,0,4,1,1,56308,41,5200,14,7645,2,0
128,48333,0,2,1,1,10123,14,0,0,6737,1,1
